Frequency,BORROWERS_CTY,Borrowers' country,Borrowing sector,Lending sector,VALUATION,Valuation method,Quaterlly_per_year,Total_Credit__all_Sec
Quarterly,JP,Japan,General government,All sectors,N,Nominal value,2019-Q4,203.3
Quarterly,JP,Japan,Households & NPISHs,All sectors,M,Market value,2019-Q4,62.5
Quarterly,JP,Japan,Non-financial corporations,All sectors,M,Market value,2019-Q4,102.0
Quarterly,JP,Japan,Private non-financial sector,All sectors,M,Market value,2019-Q4,164.5
Quarterly,KR,Korea,Non financial sector,All sectors,M,Market value,2019-Q4,235.6
Quarterly,KR,Korea,General government,All sectors,M,Market value,2019-Q4,39.3
Quarterly,KR,Korea,Households & NPISHs,All sectors,M,Market value,2019-Q4,95.0
Quarterly,KR,Korea,Non-financial corporations,All sectors,M,Market value,2019-Q4,101.3
Quarterly,KR,Korea,Private non-financial sector,All sectors,M,Market value,2019-Q4,196.2
Quarterly,LU,Luxembourg,Non financial sector,All sectors,M,Market value,2019-Q4,431.0
Quarterly,LU,Luxembourg,General government,All sectors,M,Market value,2019-Q4,23.5
Quarterly,LU,Luxembourg,General government,All sectors,N,Nominal value,2019-Q4,22.4
Quarterly,LU,Luxembourg,Households & NPISHs,All sectors,M,Market value,2019-Q4,68.1
Quarterly,LU,Luxembourg,Non-financial corporations,All sectors,M,Market value,2019-Q4,339.4
Quarterly,LU,Luxembourg,Private non-financial sector,All sectors,M,Market value,2019-Q4,407.5
Quarterly,MX,Mexico,Non financial sector,All sectors,M,Market value,2019-Q4,77.3
Quarterly,MX,Mexico,General government,All sectors,N,Nominal value,2019-Q4,36.1
Quarterly,MX,Mexico,Households & NPISHs,All sectors,M,Market value,2019-Q4,16.0
Quarterly,MX,Mexico,Non-financial corporations,All sectors,M,Market value,2019-Q4,25.1
Quarterly,MX,Mexico,Private non-financial sector,All sectors,M,Market value,2019-Q4,41.2
Quarterly,MY,Malaysia,Non financial sector,All sectors,M,Market value,2019-Q4,189.1
Quarterly,MY,Malaysia,General government,All sectors,N,Nominal value,2019-Q4,52.4
Quarterly,MY,Malaysia,Households & NPISHs,All sectors,M,Market value,2019-Q4,68.1
Quarterly,MY,Malaysia,Non-financial corporations,All sectors,M,Market value,2019-Q4,68.5
Quarterly,MY,Malaysia,Private non-financial sector,All sectors,M,Market value,2019-Q4,136.6
Quarterly,NL,Netherlands,Non financial sector,All sectors,M,Market value,2019-Q4,306.0
Quarterly,NL,Netherlands,General government,All sectors,M,Market value,2019-Q4,56.3
Quarterly,NL,Netherlands,General government,All sectors,N,Nominal value,2019-Q4,48.6
Quarterly,NL,Netherlands,Households & NPISHs,All sectors,M,Market value,2019-Q4,100.8
Quarterly,NL,Netherlands,Non-financial corporations,All sectors,M,Market value,2019-Q4,148.9
Quarterly,NL,Netherlands,Private non-financial sector,All sectors,M,Market value,2019-Q4,249.7
Quarterly,NO,Norway,Non financial sector,All sectors,M,Market value,2019-Q4,286.2
Quarterly,NO,Norway,General government,All sectors,M,Market value,2019-Q4,40.4
Quarterly,NO,Norway,General government,All sectors,N,Nominal value,2019-Q4,39.8
Quarterly,NO,Norway,Households & NPISHs,All sectors,M,Market value,2019-Q4,103.3
Quarterly,NO,Norway,Non-financial corporations,All sectors,M,Market value,2019-Q4,142.5
Quarterly,NO,Norway,Private non-financial sector,All sectors,M,Market value,2019-Q4,245.8
Quarterly,NZ,New Zealand,Non financial sector,All sectors,M,Market value,2019-Q4,198.0
Quarterly,NZ,New Zealand,General government,All sectors,N,Nominal value,2019-Q4,27.7
Quarterly,NZ,New Zealand,Households & NPISHs,All sectors,M,Market value,2019-Q4,91.7
Quarterly,NZ,New Zealand,Non-financial corporations,All sectors,M,Market value,2019-Q4,78.6
Quarterly,NZ,New Zealand,Private non-financial sector,All sectors,M,Market value,2019-Q4,170.3
Quarterly,PL,Poland,Non financial sector,All sectors,M,Market value,2019-Q4,126.4
Quarterly,PL,Poland,General government,All sectors,M,Market value,2019-Q4,47.6
Quarterly,PL,Poland,General government,All sectors,N,Nominal value,2019-Q4,45.7
Quarterly,PL,Poland,Households & NPISHs,All sectors,M,Market value,2019-Q4,34.4
Quarterly,PL,Poland,Non-financial corporations,All sectors,M,Market value,2019-Q4,44.3
Quarterly,PL,Poland,Private non-financial sector,All sectors,M,Market value,2019-Q4,78.8
Quarterly,PT,Portugal,Non financial sector,All sectors,M,Market value,2019-Q4,290.8
Quarterly,PT,Portugal,General government,All sectors,M,Market value,2019-Q4,129.9
Quarterly,PT,Portugal,General government,All sectors,N,Nominal value,2019-Q4,116.6
Quarterly,PT,Portugal,Households & NPISHs,All sectors,M,Market value,2019-Q4,63.5
Quarterly,PT,Portugal,Non-financial corporations,All sectors,M,Market value,2019-Q4,97.4
Quarterly,PT,Portugal,Private non-financial sector,All sectors,M,Market value,2019-Q4,160.9
Quarterly,RU,Russia,Non financial sector,All sectors,M,Market value,2019-Q4,110.8
Quarterly,RU,Russia,General government,All sectors,N,Nominal value,2019-Q4,14.7
Quarterly,RU,Russia,Households & NPISHs,All sectors,M,Market value,2019-Q4,19.1
Quarterly,RU,Russia,Non-financial corporations,All sectors,M,Market value,2019-Q4,77.0
Quarterly,RU,Russia,Private non-financial sector,All sectors,M,Market value,2019-Q4,96.1
Quarterly,SA,Saudi Arabia,Non financial sector,All sectors,M,Market value,2019-Q4,84.8
Quarterly,SA,Saudi Arabia,General government,All sectors,N,Nominal value,2019-Q4,22.5
Quarterly,SA,Saudi Arabia,Households & NPISHs,All sectors,M,Market value,2019-Q4,12.9
Quarterly,SA,Saudi Arabia,Non-financial corporations,All sectors,M,Market value,2019-Q4,49.3
Quarterly,SA,Saudi Arabia,Private non-financial sector,All sectors,M,Market value,2019-Q4,62.3
Quarterly,SE,Sweden,Non financial sector,All sectors,M,Market value,2019-Q4,287.6
Quarterly,SE,Sweden,General government,All sectors,M,Market value,2019-Q4,37.1
Quarterly,SE,Sweden,General government,All sectors,N,Nominal value,2019-Q4,35.2
Quarterly,SE,Sweden,Households & NPISHs,All sectors,M,Market value,2019-Q4,88.5
Quarterly,SE,Sweden,Non-financial corporations,All sectors,M,Market value,2019-Q4,162.0
Quarterly,SE,Sweden,Private non-financial sector,All sectors,M,Market value,2019-Q4,250.5
Quarterly,SG,Singapore,Non financial sector,All sectors,M,Market value,2019-Q4,334.9
Quarterly,SG,Singapore,General government,All sectors,N,Nominal value,2019-Q4,125.1
Quarterly,SG,Singapore,Households & NPISHs,All sectors,M,Market value,2019-Q4,57.8
Quarterly,SG,Singapore,Non-financial corporations,All sectors,M,Market value,2019-Q4,150.8
Quarterly,SG,Singapore,Private non-financial sector,All sectors,M,Market value,2019-Q4,209.8
Quarterly,TH,Thailand,Non financial sector,All sectors,M,Market value,2019-Q4,188.6
Quarterly,TH,Thailand,General government,All sectors,N,Nominal value,2019-Q4,34.0
Quarterly,TH,Thailand,Households & NPISHs,All sectors,M,Market value,2019-Q4,80.3
Quarterly,TH,Thailand,Non-financial corporations,All sectors,M,Market value,2019-Q4,74.4
Quarterly,TH,Thailand,Private non-financial sector,All sectors,M,Market value,2019-Q4,154.6
Quarterly,TR,Turkey,Non financial sector,All sectors,M,Market value,2019-Q4,111.5
Quarterly,TR,Turkey,General government,All sectors,M,Market value,2019-Q4,31.7
Quarterly,TR,Turkey,General government,All sectors,N,Nominal value,2019-Q4,32.7
Quarterly,TR,Turkey,Households & NPISHs,All sectors,M,Market value,2019-Q4,14.7
Quarterly,TR,Turkey,Non-financial corporations,All sectors,M,Market value,2019-Q4,65.2
Quarterly,TR,Turkey,Private non-financial sector,All sectors,M,Market value,2019-Q4,79.8
Quarterly,US,United States,Non financial sector,All sectors,M,Market value,2019-Q4,255.1
Quarterly,US,United States,General government,All sectors,M,Market value,2019-Q4,103.5
Quarterly,US,United States,General government,All sectors,N,Nominal value,2019-Q4,99.8
Quarterly,US,United States,Households & NPISHs,All sectors,M,Market value,2019-Q4,75.3
Quarterly,US,United States,Non-financial corporations,All sectors,M,Market value,2019-Q4,76.3
Quarterly,US,United States,Private non-financial sector,All sectors,M,Market value,2019-Q4,151.5
Quarterly,XM,Euro area,Non financial sector,All sectors,M,Market value,2019-Q4,258.5
Quarterly,XM,Euro area,General government,All sectors,M,Market value,2019-Q4,96.4
Quarterly,XM,Euro area,General government,All sectors,N,Nominal value,2019-Q4,83.9
Quarterly,XM,Euro area,Households & NPISHs,All sectors,M,Market value,2019-Q4,57.3
Quarterly,XM,Euro area,Non-financial corporations,All sectors,M,Market value,2019-Q4,104.8
Quarterly,XM,Euro area,Private non-financial sector,All sectors,M,Market value,2019-Q4,162.2
Quarterly,ZA,South Africa,Non financial sector,All sectors,M,Market value,2019-Q4,130.4
Quarterly,ZA,South Africa,General government,All sectors,N,Nominal value,2019-Q4,57.7
Quarterly,ZA,South Africa,Households & NPISHs,All sectors,M,Market value,2019-Q4,35.2
Quarterly,ZA,South Africa,Non-financial corporations,All sectors,M,Market value,2019-Q4,37.4
Quarterly,ZA,South Africa,Private non-financial sector,All sectors,M,Market value,2019-Q4,72.6
Quarterly,4T,Emerging market economies (aggregate),Non financial sector,All sectors,M,Market value,2020-Q1,203.4
Quarterly,4T,Emerging market economies (aggregate),General government,All sectors,N,Nominal value,2020-Q1,53.4
Quarterly,4T,Emerging market economies (aggregate),Households & NPISHs,All sectors,M,Market value,2020-Q1,44.7
Quarterly,4T,Emerging market economies (aggregate),Non-financial corporations,All sectors,M,Market value,2020-Q1,105.2
Quarterly,4T,Emerging market economies (aggregate),Private non-financial sector,All sectors,M,Market value,2020-Q1,149.9
Quarterly,5A,All reporting economies,Non financial sector,All sectors,M,Market value,2020-Q1,248.0
Quarterly,5A,All reporting economies,General government,All sectors,M,Market value,2020-Q1,89.2
Quarterly,5A,All reporting economies,General government,All sectors,N,Nominal value,2020-Q1,82.4
Quarterly,5A,All reporting economies,Households & NPISHs,All sectors,M,Market value,2020-Q1,61.5
Quarterly,5A,All reporting economies,Non-financial corporations,All sectors,M,Market value,2020-Q1,97.2
Quarterly,5A,All reporting economies,Private non-financial sector,All sectors,M,Market value,2020-Q1,158.7
Quarterly,5R,Advanced economies,Non financial sector,All sectors,M,Market value,2020-Q1,276.1
Quarterly,5R,Advanced economies,General government,All sectors,M,Market value,2020-Q1,111.8
Quarterly,5R,Advanced economies,General government,All sectors,N,Nominal value,2020-Q1,100.8
Quarterly,5R,Advanced economies,Households & NPISHs,All sectors,M,Market value,2020-Q1,72.2
Quarterly,5R,Advanced economies,Non-financial corporations,All sectors,M,Market value,2020-Q1,92.1
Quarterly,5R,Advanced economies,Private non-financial sector,All sectors,M,Market value,2020-Q1,164.3
Quarterly,AR,Argentina,Non financial sector,All sectors,M,Market value,2020-Q1,119.4
Quarterly,AR,Argentina,General government,All sectors,N,Nominal value,2020-Q1,92.2
Quarterly,AR,Argentina,Households & NPISHs,All sectors,M,Market value,2020-Q1,5.0
Quarterly,AR,Argentina,Non-financial corporations,All sectors,M,Market value,2020-Q1,22.3
Quarterly,AR,Argentina,Private non-financial sector,All sectors,M,Market value,2020-Q1,27.2
Quarterly,AT,Austria,Non financial sector,All sectors,M,Market value,2020-Q1,228.9
Quarterly,AT,Austria,General government,All sectors,M,Market value,2020-Q1,85.3
Quarterly,AT,Austria,General government,All sectors,N,Nominal value,2020-Q1,73.1
Quarterly,AT,Austria,Households & NPISHs,All sectors,M,Market value,2020-Q1,49.2
Quarterly,AT,Austria,Non-financial corporations,All sectors,M,Market value,2020-Q1,94.4
Quarterly,AT,Austria,Private non-financial sector,All sectors,M,Market value,2020-Q1,143.6
Quarterly,AU,Australia,Non financial sector,All sectors,M,Market value,2020-Q1,239.9
Quarterly,AU,Australia,General government,All sectors,M,Market value,2020-Q1,45.7
Quarterly,AU,Australia,General government,All sectors,N,Nominal value,2020-Q1,43.3
Quarterly,AU,Australia,Households & NPISHs,All sectors,M,Market value,2020-Q1,118.8
Quarterly,AU,Australia,Non-financial corporations,All sectors,M,Market value,2020-Q1,75.4
Quarterly,AU,Australia,Private non-financial sector,All sectors,M,Market value,2020-Q1,194.2
Quarterly,BE,Belgium,Non financial sector,All sectors,M,Market value,2020-Q1,334.3
Quarterly,BE,Belgium,General government,All sectors,M,Market value,2020-Q1,123.1
Quarterly,BE,Belgium,General government,All sectors,N,Nominal value,2020-Q1,102.8
Quarterly,BE,Belgium,Households & NPISHs,All sectors,M,Market value,2020-Q1,61.1
Quarterly,BE,Belgium,Non-financial corporations,All sectors,M,Market value,2020-Q1,150.2
Quarterly,BE,Belgium,Private non-financial sector,All sectors,M,Market value,2020-Q1,211.2
Quarterly,BR,Brazil,Non financial sector,All sectors,M,Market value,2020-Q1,167.9
Quarterly,BR,Brazil,General government,All sectors,N,Nominal value,2020-Q1,85.9
Quarterly,BR,Brazil,Households & NPISHs,All sectors,M,Market value,2020-Q1,30.1
Quarterly,BR,Brazil,Non-financial corporations,All sectors,M,Market value,2020-Q1,51.9
Quarterly,BR,Brazil,Private non-financial sector,All sectors,M,Market value,2020-Q1,82.0
Quarterly,CA,Canada,Non financial sector,All sectors,M,Market value,2020-Q1,315.6
Quarterly,CA,Canada,General government,All sectors,M,Market value,2020-Q1,91.5
Quarterly,CA,Canada,General government,All sectors,N,Nominal value,2020-Q1,83.5
Quarterly,CA,Canada,Households & NPISHs,All sectors,M,Market value,2020-Q1,103.9
Quarterly,CA,Canada,Non-financial corporations,All sectors,M,Market value,2020-Q1,120.1
Quarterly,CA,Canada,Private non-financial sector,All sectors,M,Market value,2020-Q1,224.0
Quarterly,CH,Switzerland,Non financial sector,All sectors,M,Market value,2020-Q1,291.8
Quarterly,CH,Switzerland,General government,All sectors,M,Market value,2020-Q1,29.8
Quarterly,CH,Switzerland,General government,All sectors,N,Nominal value,2020-Q1,26.5
Quarterly,CH,Switzerland,Households & NPISHs,All sectors,M,Market value,2020-Q1,127.4
Quarterly,CH,Switzerland,Non-financial corporations,All sectors,M,Market value,2020-Q1,134.6
Quarterly,CH,Switzerland,Private non-financial sector,All sectors,M,Market value,2020-Q1,262.0
Quarterly,CL,Chile,Non financial sector,All sectors,M,Market value,2020-Q1,194.3
Quarterly,CL,Chile,General government,All sectors,M,Market value,2020-Q1,33.5
Quarterly,CL,Chile,General government,All sectors,N,Nominal value,2020-Q1,30.0
Quarterly,CL,Chile,Households & NPISHs,All sectors,M,Market value,2020-Q1,48.4
Quarterly,CL,Chile,Non-financial corporations,All sectors,M,Market value,2020-Q1,112.4
Quarterly,CL,Chile,Private non-financial sector,All sectors,M,Market value,2020-Q1,160.7
Quarterly,CN,China,Non financial sector,All sectors,M,Market value,2020-Q1,279.0
Quarterly,CN,China,General government,All sectors,N,Nominal value,2020-Q1,61.7
Quarterly,CN,China,Households & NPISHs,All sectors,M,Market value,2020-Q1,57.4
Quarterly,CN,China,Non-financial corporations,All sectors,M,Market value,2020-Q1,159.8
Quarterly,CN,China,Private non-financial sector,All sectors,M,Market value,2020-Q1,217.3
Quarterly,CO,Colombia,Non financial sector,All sectors,M,Market value,2020-Q1,121.0
Quarterly,CO,Colombia,General government,All sectors,N,Nominal value,2020-Q1,57.8
Quarterly,CO,Colombia,Households & NPISHs,All sectors,M,Market value,2020-Q1,30.053
Quarterly,CO,Colombia,Non-financial corporations,All sectors,M,Market value,2020-Q1,33.151
Quarterly,CO,Colombia,Private non-financial sector,All sectors,M,Market value,2020-Q1,63.2
Quarterly,CZ,Czechia,Non financial sector,All sectors,M,Market value,2020-Q1,120.2
Quarterly,CZ,Czechia,General government,All sectors,M,Market value,2020-Q1,34.5
Quarterly,CZ,Czechia,General government,All sectors,N,Nominal value,2020-Q1,32.4
Quarterly,CZ,Czechia,Households & NPISHs,All sectors,M,Market value,2020-Q1,31.5
Quarterly,CZ,Czechia,Non-financial corporations,All sectors,M,Market value,2020-Q1,54.2
Quarterly,CZ,Czechia,Private non-financial sector,All sectors,M,Market value,2020-Q1,85.7
Quarterly,DE,Germany,Non financial sector,All sectors,M,Market value,2020-Q1,189.7
Quarterly,DE,Germany,General government,All sectors,M,Market value,2020-Q1,65.9
Quarterly,DE,Germany,General government,All sectors,N,Nominal value,2020-Q1,59.9
Quarterly,DE,Germany,Households & NPISHs,All sectors,M,Market value,2020-Q1,53.6
Quarterly,DE,Germany,Non-financial corporations,All sectors,M,Market value,2020-Q1,70.1
Quarterly,DE,Germany,Private non-financial sector,All sectors,M,Market value,2020-Q1,123.7
Quarterly,DK,Denmark,Non financial sector,All sectors,M,Market value,2020-Q1,285.2
Quarterly,DK,Denmark,General government,All sectors,M,Market value,2020-Q1,39.8
Quarterly,DK,Denmark,General government,All sectors,N,Nominal value,2020-Q1,33.3
Quarterly,DK,Denmark,Households & NPISHs,All sectors,M,Market value,2020-Q1,108.9
Quarterly,DK,Denmark,Non-financial corporations,All sectors,M,Market value,2020-Q1,136.5
Quarterly,DK,Denmark,Private non-financial sector,All sectors,M,Market value,2020-Q1,245.4
Quarterly,ES,Spain,Non financial sector,All sectors,M,Market value,2020-Q1,266.7
Quarterly,ES,Spain,General government,All sectors,M,Market value,2020-Q1,115.9
Quarterly,ES,Spain,General government,All sectors,N,Nominal value,2020-Q1,102.0
Quarterly,ES,Spain,Households & NPISHs,All sectors,M,Market value,2020-Q1,57.1
Quarterly,ES,Spain,Non-financial corporations,All sectors,M,Market value,2020-Q1,93.7
Quarterly,ES,Spain,Private non-financial sector,All sectors,M,Market value,2020-Q1,150.7
Quarterly,FI,Finland,Non financial sector,All sectors,M,Market value,2020-Q1,258.5
Quarterly,FI,Finland,General government,All sectors,M,Market value,2020-Q1,74.1
Quarterly,FI,Finland,General government,All sectors,N,Nominal value,2020-Q1,69.6
Quarterly,FI,Finland,Households & NPISHs,All sectors,M,Market value,2020-Q1,66.2
Quarterly,FI,Finland,Non-financial corporations,All sectors,M,Market value,2020-Q1,118.2
Quarterly,FI,Finland,Private non-financial sector,All sectors,M,Market value,2020-Q1,184.4
Quarterly,FR,France,Non financial sector,All sectors,M,Market value,2020-Q1,333.1
Quarterly,FR,France,General government,All sectors,M,Market value,2020-Q1,114.5
Quarterly,FR,France,General government,All sectors,N,Nominal value,2020-Q1,100.6
Quarterly,FR,France,Households & NPISHs,All sectors,M,Market value,2020-Q1,62.9
Quarterly,FR,France,Non-financial corporations,All sectors,M,Market value,2020-Q1,155.6
Quarterly,FR,France,Private non-financial sector,All sectors,M,Market value,2020-Q1,218.5
Quarterly,G2,G20 economies,Non financial sector,All sectors,M,Market value,2020-Q1,249.8
Quarterly,G2,G20 economies,General government,All sectors,M,Market value,2020-Q1,92.6
Quarterly,G2,G20 economies,General government,All sectors,N,Nominal value,2020-Q1,85.4
Quarterly,G2,G20 economies,Households & NPISHs,All sectors,M,Market value,2020-Q1,60.8
Quarterly,G2,G20 economies,Non-financial corporations,All sectors,M,Market value,2020-Q1,96.4
Quarterly,G2,G20 economies,Private non-financial sector,All sectors,M,Market value,2020-Q1,157.2
Quarterly,GB,United Kingdom,Non financial sector,All sectors,M,Market value,2020-Q1,271.9
Quarterly,GB,United Kingdom,General government,All sectors,M,Market value,2020-Q1,113.7
Quarterly,GB,United Kingdom,General government,All sectors,N,Nominal value,2020-Q1,84.5
Quarterly,GB,United Kingdom,Households & NPISHs,All sectors,M,Market value,2020-Q1,83.9
Quarterly,GB,United Kingdom,Non-financial corporations,All sectors,M,Market value,2020-Q1,74.3
Quarterly,GB,United Kingdom,Private non-financial sector,All sectors,M,Market value,2020-Q1,158.2
Quarterly,GR,Greece,Non financial sector,All sectors,M,Market value,2020-Q1,301.8
Quarterly,GR,Greece,General government,All sectors,M,Market value,2020-Q1,190.0
Quarterly,GR,Greece,General government,All sectors,N,Nominal value,2020-Q1,181.4
Quarterly,GR,Greece,Households & NPISHs,All sectors,M,Market value,2020-Q1,56.1
Quarterly,GR,Greece,Non-financial corporations,All sectors,M,Market value,2020-Q1,55.7
Quarterly,GR,Greece,Private non-financial sector,All sectors,M,Market value,2020-Q1,111.8
Quarterly,HK,Hong Kong SAR,Non financial sector,All sectors,M,Market value,2020-Q1,433.3
Quarterly,HK,Hong Kong SAR,General government,All sectors,N,Nominal value,2020-Q1,66.2
Quarterly,HK,Hong Kong SAR,Households & NPISHs,All sectors,M,Market value,2020-Q1,83.4
Quarterly,HK,Hong Kong SAR,Non-financial corporations,All sectors,M,Market value,2020-Q1,283.6
Quarterly,HK,Hong Kong SAR,Private non-financial sector,All sectors,M,Market value,2020-Q1,367.1
Quarterly,HU,Hungary,Non financial sector,All sectors,M,Market value,2020-Q1,155.3
Quarterly,HU,Hungary,General government,All sectors,M,Market value,2020-Q1,69.0
Quarterly,HU,Hungary,General government,All sectors,N,Nominal value,2020-Q1,64.1
Quarterly,HU,Hungary,Households & NPISHs,All sectors,M,Market value,2020-Q1,18.8
Quarterly,HU,Hungary,Non-financial corporations,All sectors,M,Market value,2020-Q1,67.4
Quarterly,HU,Hungary,Private non-financial sector,All sectors,M,Market value,2020-Q1,86.3
Quarterly,ID,Indonesia,Non financial sector,All sectors,M,Market value,2020-Q1,77.1
Quarterly,ID,Indonesia,General government,All sectors,N,Nominal value,2020-Q1,32.4
Quarterly,ID,Indonesia,Households & NPISHs,All sectors,M,Market value,2020-Q1,17.0
Quarterly,ID,Indonesia,Non-financial corporations,All sectors,M,Market value,2020-Q1,27.6
Quarterly,ID,Indonesia,Private non-financial sector,All sectors,M,Market value,2020-Q1,44.7
Quarterly,IE,Ireland,Non financial sector,All sectors,M,Market value,2020-Q1,309.0
Quarterly,IE,Ireland,General government,All sectors,M,Market value,2020-Q1,63.6
Quarterly,IE,Ireland,General government,All sectors,N,Nominal value,2020-Q1,58.8
Quarterly,IE,Ireland,Households & NPISHs,All sectors,M,Market value,2020-Q1,36.3
Quarterly,IE,Ireland,Non-financial corporations,All sectors,M,Market value,2020-Q1,209.1
Quarterly,IE,Ireland,Private non-financial sector,All sectors,M,Market value,2020-Q1,245.4
Quarterly,IL,Israel,Non financial sector,All sectors,M,Market value,2020-Q1,173.2
Quarterly,IL,Israel,General government,All sectors,M,Market value,2020-Q1,65.9
Quarterly,IL,Israel,General government,All sectors,N,Nominal value,2020-Q1,59.2
Quarterly,IL,Israel,Households & NPISHs,All sectors,M,Market value,2020-Q1,41.2
Quarterly,IL,Israel,Non-financial corporations,All sectors,M,Market value,2020-Q1,66.1
Quarterly,IL,Israel,Private non-financial sector,All sectors,M,Market value,2020-Q1,107.2
Quarterly,IN,India,Non financial sector,All sectors,M,Market value,2020-Q1,169.1
Quarterly,IN,India,General government,All sectors,N,Nominal value,2020-Q1,75.3
Quarterly,IN,India,Households & NPISHs,All sectors,M,Market value,2020-Q1,37.9
Quarterly,IN,India,Non-financial corporations,All sectors,M,Market value,2020-Q1,55.8
Quarterly,IN,India,Private non-financial sector,All sectors,M,Market value,2020-Q1,93.7
Quarterly,IT,Italy,Non financial sector,All sectors,M,Market value,2020-Q1,260.2
Quarterly,IT,Italy,General government,All sectors,M,Market value,2020-Q1,149.3
Quarterly,IT,Italy,General government,All sectors,N,Nominal value,2020-Q1,137.2
Quarterly,IT,Italy,Households & NPISHs,All sectors,M,Market value,2020-Q1,41.5
Quarterly,IT,Italy,Non-financial corporations,All sectors,M,Market value,2020-Q1,69.5
Quarterly,IT,Italy,Private non-financial sector,All sectors,M,Market value,2020-Q1,111.0
Quarterly,JP,Japan,Non financial sector,All sectors,M,Market value,2020-Q1,383.6
Quarterly,JP,Japan,General government,All sectors,M,Market value,2020-Q1,217.6
Quarterly,JP,Japan,General government,All sectors,N,Nominal value,2020-Q1,204.8
Quarterly,JP,Japan,Households & NPISHs,All sectors,M,Market value,2020-Q1,63.0
Quarterly,JP,Japan,Non-financial corporations,All sectors,M,Market value,2020-Q1,103.0
Quarterly,JP,Japan,Private non-financial sector,All sectors,M,Market value,2020-Q1,166.1
Quarterly,KR,Korea,Non financial sector,All sectors,M,Market value,2020-Q1,242.7
Quarterly,KR,Korea,General government,All sectors,M,Market value,2020-Q1,42.8
Quarterly,KR,Korea,Households & NPISHs,All sectors,M,Market value,2020-Q1,95.5
Quarterly,KR,Korea,Non-financial corporations,All sectors,M,Market value,2020-Q1,104.5
Quarterly,KR,Korea,Private non-financial sector,All sectors,M,Market value,2020-Q1,200.0
Quarterly,LU,Luxembourg,Non financial sector,All sectors,M,Market value,2020-Q1,430.3
Quarterly,LU,Luxembourg,General government,All sectors,M,Market value,2020-Q1,23.6
Quarterly,LU,Luxembourg,General government,All sectors,N,Nominal value,2020-Q1,22.4
Quarterly,LU,Luxembourg,Households & NPISHs,All sectors,M,Market value,2020-Q1,67.8
Quarterly,LU,Luxembourg,Non-financial corporations,All sectors,M,Market value,2020-Q1,338.9
Quarterly,LU,Luxembourg,Private non-financial sector,All sectors,M,Market value,2020-Q1,406.8
Quarterly,MX,Mexico,Non financial sector,All sectors,M,Market value,2020-Q1,83.7
Quarterly,MX,Mexico,General government,All sectors,N,Nominal value,2020-Q1,38.4
Quarterly,MX,Mexico,Households & NPISHs,All sectors,M,Market value,2020-Q1,16.2
Quarterly,MX,Mexico,Non-financial corporations,All sectors,M,Market value,2020-Q1,29.1
Quarterly,MX,Mexico,Private non-financial sector,All sectors,M,Market value,2020-Q1,45.3
Quarterly,MY,Malaysia,Non financial sector,All sectors,M,Market value,2020-Q1,190.8
Quarterly,MY,Malaysia,General government,All sectors,N,Nominal value,2020-Q1,54.3
Quarterly,MY,Malaysia,Households & NPISHs,All sectors,M,Market value,2020-Q1,67.9
Quarterly,MY,Malaysia,Non-financial corporations,All sectors,M,Market value,2020-Q1,68.6
Quarterly,MY,Malaysia,Private non-financial sector,All sectors,M,Market value,2020-Q1,136.5
Quarterly,NL,Netherlands,Non financial sector,All sectors,M,Market value,2020-Q1,309.0
Quarterly,NL,Netherlands,General government,All sectors,M,Market value,2020-Q1,57.2
Quarterly,NL,Netherlands,General government,All sectors,N,Nominal value,2020-Q1,49.4
Quarterly,NL,Netherlands,Households & NPISHs,All sectors,M,Market value,2020-Q1,100.7
Quarterly,NL,Netherlands,Non-financial corporations,All sectors,M,Market value,2020-Q1,151.1
Quarterly,NL,Netherlands,Private non-financial sector,All sectors,M,Market value,2020-Q1,251.8
Quarterly,NO,Norway,Non financial sector,All sectors,M,Market value,2020-Q1,294.4
Quarterly,NO,Norway,General government,All sectors,M,Market value,2020-Q1,41.6
Quarterly,NO,Norway,General government,All sectors,N,Nominal value,2020-Q1,40.8
Quarterly,NO,Norway,Households & NPISHs,All sectors,M,Market value,2020-Q1,104.5
Quarterly,NO,Norway,Non-financial corporations,All sectors,M,Market value,2020-Q1,148.3
Quarterly,NO,Norway,Private non-financial sector,All sectors,M,Market value,2020-Q1,252.8
Quarterly,NZ,New Zealand,Non financial sector,All sectors,M,Market value,2020-Q1,199.8
Quarterly,NZ,New Zealand,General government,All sectors,N,Nominal value,2020-Q1,28.2
Quarterly,NZ,New Zealand,Households & NPISHs,All sectors,M,Market value,2020-Q1,91.9
Quarterly,NZ,New Zealand,Non-financial corporations,All sectors,M,Market value,2020-Q1,79.7
Quarterly,NZ,New Zealand,Private non-financial sector,All sectors,M,Market value,2020-Q1,171.6
Quarterly,PL,Poland,Non financial sector,All sectors,M,Market value,2020-Q1,131.0
Quarterly,PL,Poland,General government,All sectors,M,Market value,2020-Q1,50.2
Quarterly,PL,Poland,General government,All sectors,N,Nominal value,2020-Q1,47.6
Quarterly,PL,Poland,Households & NPISHs,All sectors,M,Market value,2020-Q1,34.7
Quarterly,PL,Poland,Non-financial corporations,All sectors,M,Market value,2020-Q1,46.2
Quarterly,PL,Poland,Private non-financial sector,All sectors,M,Market value,2020-Q1,80.9
Quarterly,PT,Portugal,Non financial sector,All sectors,M,Market value,2020-Q1,292.8
Quarterly,PT,Portugal,General government,All sectors,M,Market value,2020-Q1,131.1
