Frequency,REF_AREA,Reference area,VALUE,Value,Unit of measure,Series,Quarterly_per_year,Property_price_rate
Quarterly,IE,Ireland,N,Nominal,"Year-on-year changes, in per cent",Q:IE:N:771,2019-Q3,1.7177
Quarterly,IE,Ireland,R,Real,"Year-on-year changes, in per cent",Q:IE:R:771,2019-Q3,1.0235
Quarterly,IL,Israel,N,Nominal,"Year-on-year changes, in per cent",Q:IL:N:771,2019-Q3,1.9557
Quarterly,IL,Israel,R,Real,"Year-on-year changes, in per cent",Q:IL:R:771,2019-Q3,1.4795
Quarterly,IN,India,N,Nominal,"Year-on-year changes, in per cent",Q:IN:N:771,2019-Q3,3.2504
Quarterly,IN,India,R,Real,"Year-on-year changes, in per cent",Q:IN:R:771,2019-Q3,-0.215
Quarterly,IS,Iceland,N,Nominal,"Year-on-year changes, in per cent",Q:IS:N:771,2019-Q3,3.3261
Quarterly,IS,Iceland,R,Real,"Year-on-year changes, in per cent",Q:IS:R:771,2019-Q3,0.2397
Quarterly,IT,Italy,N,Nominal,"Year-on-year changes, in per cent",Q:IT:N:771,2019-Q3,0.4065
Quarterly,IT,Italy,R,Real,"Year-on-year changes, in per cent",Q:IT:R:771,2019-Q3,0.0496
Quarterly,JP,Japan,N,Nominal,"Year-on-year changes, in per cent",Q:JP:N:771,2019-Q3,1.2489
Quarterly,JP,Japan,R,Real,"Year-on-year changes, in per cent",Q:JP:R:771,2019-Q3,0.9113
Quarterly,KR,Korea,N,Nominal,"Year-on-year changes, in per cent",Q:KR:N:771,2019-Q3,1.1017
Quarterly,KR,Korea,R,Real,"Year-on-year changes, in per cent",Q:KR:R:771,2019-Q3,1.0566
Quarterly,LT,Lithuania,N,Nominal,"Year-on-year changes, in per cent",Q:LT:N:771,2019-Q3,6.4415
Quarterly,LT,Lithuania,R,Real,"Year-on-year changes, in per cent",Q:LT:R:771,2019-Q3,3.8457
Quarterly,LU,Luxembourg,N,Nominal,"Year-on-year changes, in per cent",Q:LU:N:771,2019-Q3,11.2582
Quarterly,LU,Luxembourg,R,Real,"Year-on-year changes, in per cent",Q:LU:R:771,2019-Q3,9.5268
Quarterly,LV,Latvia,N,Nominal,"Year-on-year changes, in per cent",Q:LV:N:771,2019-Q3,12.6526
Quarterly,LV,Latvia,R,Real,"Year-on-year changes, in per cent",Q:LV:R:771,2019-Q3,9.4822
Quarterly,MA,Morocco,N,Nominal,"Year-on-year changes, in per cent",Q:MA:N:771,2019-Q3,0.5231
Quarterly,MA,Morocco,R,Real,"Year-on-year changes, in per cent",Q:MA:R:771,2019-Q3,0.1614
Quarterly,MK,North Macedonia,N,Nominal,"Year-on-year changes, in per cent",Q:MK:N:771,2019-Q3,2.046
Quarterly,MK,North Macedonia,R,Real,"Year-on-year changes, in per cent",Q:MK:R:771,2019-Q3,1.417
Quarterly,MT,Malta,N,Nominal,"Year-on-year changes, in per cent",Q:MT:N:771,2019-Q3,6.0305
Quarterly,MT,Malta,R,Real,"Year-on-year changes, in per cent",Q:MT:R:771,2019-Q3,4.3475
Quarterly,MX,Mexico,N,Nominal,"Year-on-year changes, in per cent",Q:MX:N:771,2019-Q3,8.4429
Quarterly,MX,Mexico,R,Real,"Year-on-year changes, in per cent",Q:MX:R:771,2019-Q3,4.966
Quarterly,MY,Malaysia,N,Nominal,"Year-on-year changes, in per cent",Q:MY:N:771,2019-Q3,2.1505
Quarterly,MY,Malaysia,R,Real,"Year-on-year changes, in per cent",Q:MY:R:771,2019-Q3,0.8076
Quarterly,NL,Netherlands,N,Nominal,"Year-on-year changes, in per cent",Q:NL:N:771,2019-Q3,6.2505
Quarterly,NL,Netherlands,R,Real,"Year-on-year changes, in per cent",Q:NL:R:771,2019-Q3,3.4897
Quarterly,NO,Norway,N,Nominal,"Year-on-year changes, in per cent",Q:NO:N:771,2019-Q3,2.3458
Quarterly,NO,Norway,R,Real,"Year-on-year changes, in per cent",Q:NO:R:771,2019-Q3,0.6866
Quarterly,NZ,New Zealand,N,Nominal,"Year-on-year changes, in per cent",Q:NZ:N:771,2019-Q3,3.095
Quarterly,NZ,New Zealand,R,Real,"Year-on-year changes, in per cent",Q:NZ:R:771,2019-Q3,1.6066
Quarterly,PE,Peru,N,Nominal,"Year-on-year changes, in per cent",Q:PE:N:771,2019-Q3,1.9738
Quarterly,PE,Peru,R,Real,"Year-on-year changes, in per cent",Q:PE:R:771,2019-Q3,-0.0264
Quarterly,PH,Philippines,N,Nominal,"Year-on-year changes, in per cent",Q:PH:N:771,2019-Q3,10.394
Quarterly,PH,Philippines,R,Real,"Year-on-year changes, in per cent",Q:PH:R:771,2019-Q3,8.922
Quarterly,PL,Poland,N,Nominal,"Year-on-year changes, in per cent",Q:PL:N:771,2019-Q3,8.9571
Quarterly,PL,Poland,R,Real,"Year-on-year changes, in per cent",Q:PL:R:771,2019-Q3,6.2195
Quarterly,PT,Portugal,N,Nominal,"Year-on-year changes, in per cent",Q:PT:N:771,2019-Q3,10.754
Quarterly,PT,Portugal,R,Real,"Year-on-year changes, in per cent",Q:PT:R:771,2019-Q3,10.9435
Quarterly,RO,Romania,N,Nominal,"Year-on-year changes, in per cent",Q:RO:N:771,2019-Q3,4.2017
Quarterly,RO,Romania,R,Real,"Year-on-year changes, in per cent",Q:RO:R:771,2019-Q3,0.349
Quarterly,RS,Serbia,N,Nominal,"Year-on-year changes, in per cent",Q:RS:N:771,2019-Q3,-10.3966
Quarterly,RS,Serbia,R,Real,"Year-on-year changes, in per cent",Q:RS:R:771,2019-Q3,-11.5915
Quarterly,RU,Russia,N,Nominal,"Year-on-year changes, in per cent",Q:RU:N:771,2019-Q3,8.0942
Quarterly,RU,Russia,R,Real,"Year-on-year changes, in per cent",Q:RU:R:771,2019-Q3,3.6458
Quarterly,SE,Sweden,N,Nominal,"Year-on-year changes, in per cent",Q:SE:N:771,2019-Q3,2.9387
Quarterly,SE,Sweden,R,Real,"Year-on-year changes, in per cent",Q:SE:R:771,2019-Q3,1.4
Quarterly,SG,Singapore,N,Nominal,"Year-on-year changes, in per cent",Q:SG:N:771,2019-Q3,2.0708
Quarterly,SG,Singapore,R,Real,"Year-on-year changes, in per cent",Q:SG:R:771,2019-Q3,1.7125
Quarterly,SI,Slovenia,N,Nominal,"Year-on-year changes, in per cent",Q:SI:N:771,2019-Q3,7.0595
Quarterly,SI,Slovenia,R,Real,"Year-on-year changes, in per cent",Q:SI:R:771,2019-Q3,4.97
Quarterly,SK,Slovak Republic,N,Nominal,"Year-on-year changes, in per cent",Q:SK:N:771,2019-Q3,11.4676
Quarterly,SK,Slovak Republic,R,Real,"Year-on-year changes, in per cent",Q:SK:R:771,2019-Q3,8.3524
Quarterly,TH,Thailand,N,Nominal,"Year-on-year changes, in per cent",Q:TH:N:771,2019-Q3,-0.4357
Quarterly,TH,Thailand,R,Real,"Year-on-year changes, in per cent",Q:TH:R:771,2019-Q3,-1.035
Quarterly,TR,Turkey,N,Nominal,"Year-on-year changes, in per cent",Q:TR:N:771,2019-Q3,6.8646
Quarterly,TR,Turkey,R,Real,"Year-on-year changes, in per cent",Q:TR:R:771,2019-Q3,-5.8679
Quarterly,US,United States,N,Nominal,"Year-on-year changes, in per cent",Q:US:N:771,2019-Q3,3.8539
Quarterly,US,United States,R,Real,"Year-on-year changes, in per cent",Q:US:R:771,2019-Q3,2.0602
Quarterly,XM,Euro area,N,Nominal,"Year-on-year changes, in per cent",Q:XM:N:771,2019-Q3,4.0501
Quarterly,XM,Euro area,R,Real,"Year-on-year changes, in per cent",Q:XM:R:771,2019-Q3,3.0665
Quarterly,XW,World,N,Nominal,"Year-on-year changes, in per cent",Q:XW:N:771,2019-Q3,4.0311
Quarterly,XW,World,R,Real,"Year-on-year changes, in per cent",Q:XW:R:771,2019-Q3,1.5941
Quarterly,ZA,South Africa,N,Nominal,"Year-on-year changes, in per cent",Q:ZA:N:771,2019-Q3,3.6879
Quarterly,ZA,South Africa,R,Real,"Year-on-year changes, in per cent",Q:ZA:R:771,2019-Q3,-0.4111
Quarterly,4T,Emerging market economies (aggregate),N,Nominal,"Year-on-year changes, in per cent",Q:4T:N:771,2019-Q4,4.4578
Quarterly,4T,Emerging market economies (aggregate),R,Real,"Year-on-year changes, in per cent",Q:4T:R:771,2019-Q4,0.4609
Quarterly,5R,Advanced economies,N,Nominal,"Year-on-year changes, in per cent",Q:5R:N:771,2019-Q4,3.6159
Quarterly,5R,Advanced economies,R,Real,"Year-on-year changes, in per cent",Q:5R:R:771,2019-Q4,2.1274
Quarterly,AE,United Arab Emirates,N,Nominal,"Year-on-year changes, in per cent",Q:AE:N:771,2019-Q4,-6.0524
Quarterly,AE,United Arab Emirates,R,Real,"Year-on-year changes, in per cent",Q:AE:R:771,2019-Q4,-4.5671
Quarterly,AT,Austria,N,Nominal,"Year-on-year changes, in per cent",Q:AT:N:771,2019-Q4,3.0497
Quarterly,AT,Austria,R,Real,"Year-on-year changes, in per cent",Q:AT:R:771,2019-Q4,1.7019
Quarterly,AU,Australia,N,Nominal,"Year-on-year changes, in per cent",Q:AU:N:771,2019-Q4,2.5
Quarterly,AU,Australia,R,Real,"Year-on-year changes, in per cent",Q:AU:R:771,2019-Q4,0.6476
Quarterly,BE,Belgium,N,Nominal,"Year-on-year changes, in per cent",Q:BE:N:771,2019-Q4,4.7761
Quarterly,BE,Belgium,R,Real,"Year-on-year changes, in per cent",Q:BE:R:771,2019-Q4,4.2118
Quarterly,BG,Bulgaria,N,Nominal,"Year-on-year changes, in per cent",Q:BG:N:771,2019-Q4,6.2148
Quarterly,BG,Bulgaria,R,Real,"Year-on-year changes, in per cent",Q:BG:R:771,2019-Q4,3.0461
Quarterly,BR,Brazil,N,Nominal,"Year-on-year changes, in per cent",Q:BR:N:771,2019-Q4,5.0182
Quarterly,BR,Brazil,R,Real,"Year-on-year changes, in per cent",Q:BR:R:771,2019-Q4,1.5926
Quarterly,CA,Canada,N,Nominal,"Year-on-year changes, in per cent",Q:CA:N:771,2019-Q4,1.6409
Quarterly,CA,Canada,R,Real,"Year-on-year changes, in per cent",Q:CA:R:771,2019-Q4,-0.4445
Quarterly,CH,Switzerland,N,Nominal,"Year-on-year changes, in per cent",Q:CH:N:771,2019-Q4,2.2069
Quarterly,CH,Switzerland,R,Real,"Year-on-year changes, in per cent",Q:CH:R:771,2019-Q4,2.2852
Quarterly,CL,Chile,N,Nominal,"Year-on-year changes, in per cent",Q:CL:N:771,2019-Q4,7.948
Quarterly,CL,Chile,R,Real,"Year-on-year changes, in per cent",Q:CL:R:771,2019-Q4,5.0607
Quarterly,CN,China,N,Nominal,"Year-on-year changes, in per cent",Q:CN:N:771,2019-Q4,3.7813
Quarterly,CN,China,R,Real,"Year-on-year changes, in per cent",Q:CN:R:771,2019-Q4,-0.6337
Quarterly,CO,Colombia,N,Nominal,"Year-on-year changes, in per cent",Q:CO:N:771,2019-Q4,6.5244
Quarterly,CO,Colombia,R,Real,"Year-on-year changes, in per cent",Q:CO:R:771,2019-Q4,2.5895
Quarterly,CY,Cyprus,N,Nominal,"Year-on-year changes, in per cent",Q:CY:N:771,2019-Q4,2.1519
Quarterly,CY,Cyprus,R,Real,"Year-on-year changes, in per cent",Q:CY:R:771,2019-Q4,2.4103
Quarterly,CZ,Czechia,N,Nominal,"Year-on-year changes, in per cent",Q:CZ:N:771,2019-Q4,8.9285
Quarterly,CZ,Czechia,R,Real,"Year-on-year changes, in per cent",Q:CZ:R:771,2019-Q4,5.7356
Quarterly,DE,Germany,N,Nominal,"Year-on-year changes, in per cent",Q:DE:N:771,2019-Q4,6.5068
Quarterly,DE,Germany,R,Real,"Year-on-year changes, in per cent",Q:DE:R:771,2019-Q4,5.1973
Quarterly,DK,Denmark,N,Nominal,"Year-on-year changes, in per cent",Q:DK:N:771,2019-Q4,2.5551
Quarterly,DK,Denmark,R,Real,"Year-on-year changes, in per cent",Q:DK:R:771,2019-Q4,1.8588
Quarterly,EE,Estonia,N,Nominal,"Year-on-year changes, in per cent",Q:EE:N:771,2019-Q4,8.2046
Quarterly,EE,Estonia,R,Real,"Year-on-year changes, in per cent",Q:EE:R:771,2019-Q4,6.368
Quarterly,ES,Spain,N,Nominal,"Year-on-year changes, in per cent",Q:ES:N:771,2019-Q4,3.6951
Quarterly,ES,Spain,R,Real,"Year-on-year changes, in per cent",Q:ES:R:771,2019-Q4,3.2398
Quarterly,FI,Finland,N,Nominal,"Year-on-year changes, in per cent",Q:FI:N:771,2019-Q4,0.0969
Quarterly,FI,Finland,R,Real,"Year-on-year changes, in per cent",Q:FI:R:771,2019-Q4,-0.6793
Quarterly,FR,France,N,Nominal,"Year-on-year changes, in per cent",Q:FR:N:771,2019-Q4,3.7753
Quarterly,FR,France,R,Real,"Year-on-year changes, in per cent",Q:FR:R:771,2019-Q4,2.6614
Quarterly,GB,United Kingdom,N,Nominal,"Year-on-year changes, in per cent",Q:GB:N:771,2019-Q4,0.8278
Quarterly,GB,United Kingdom,R,Real,"Year-on-year changes, in per cent",Q:GB:R:771,2019-Q4,-0.567
Quarterly,GR,Greece,N,Nominal,"Year-on-year changes, in per cent",Q:GR:N:771,2019-Q4,7.4791
Quarterly,GR,Greece,R,Real,"Year-on-year changes, in per cent",Q:GR:R:771,2019-Q4,7.3772
Quarterly,HK,Hong Kong SAR,N,Nominal,"Year-on-year changes, in per cent",Q:HK:N:771,2019-Q4,3.4211
Quarterly,HK,Hong Kong SAR,R,Real,"Year-on-year changes, in per cent",Q:HK:R:771,2019-Q4,0.3048
Quarterly,HR,Croatia,N,Nominal,"Year-on-year changes, in per cent",Q:HR:N:771,2019-Q4,10.0441
Quarterly,HR,Croatia,R,Real,"Year-on-year changes, in per cent",Q:HR:R:771,2019-Q4,9.0472
Quarterly,HU,Hungary,N,Nominal,"Year-on-year changes, in per cent",Q:HU:N:771,2019-Q4,12.8693
Quarterly,HU,Hungary,R,Real,"Year-on-year changes, in per cent",Q:HU:R:771,2019-Q4,9.137
Quarterly,ID,Indonesia,N,Nominal,"Year-on-year changes, in per cent",Q:ID:N:771,2019-Q4,1.2429
Quarterly,ID,Indonesia,R,Real,"Year-on-year changes, in per cent",Q:ID:R:771,2019-Q4,-1.6576
Quarterly,IE,Ireland,N,Nominal,"Year-on-year changes, in per cent",Q:IE:N:771,2019-Q4,0.8375
Quarterly,IE,Ireland,R,Real,"Year-on-year changes, in per cent",Q:IE:R:771,2019-Q4,-0.1811
Quarterly,IL,Israel,N,Nominal,"Year-on-year changes, in per cent",Q:IL:N:771,2019-Q4,3.5691
Quarterly,IL,Israel,R,Real,"Year-on-year changes, in per cent",Q:IL:R:771,2019-Q4,3.119
Quarterly,IN,India,N,Nominal,"Year-on-year changes, in per cent",Q:IN:N:771,2019-Q4,2.9735
Quarterly,IN,India,R,Real,"Year-on-year changes, in per cent",Q:IN:R:771,2019-Q4,-2.7036
Quarterly,IS,Iceland,N,Nominal,"Year-on-year changes, in per cent",Q:IS:N:771,2019-Q4,4.2851
Quarterly,IS,Iceland,R,Real,"Year-on-year changes, in per cent",Q:IS:R:771,2019-Q4,1.7484
Quarterly,IT,Italy,N,Nominal,"Year-on-year changes, in per cent",Q:IT:N:771,2019-Q4,0.2035
Quarterly,IT,Italy,R,Real,"Year-on-year changes, in per cent",Q:IT:R:771,2019-Q4,-0.0892
Quarterly,JP,Japan,N,Nominal,"Year-on-year changes, in per cent",Q:JP:N:771,2019-Q4,0.9569
Quarterly,JP,Japan,R,Real,"Year-on-year changes, in per cent",Q:JP:R:771,2019-Q4,0.4545
Quarterly,KR,Korea,N,Nominal,"Year-on-year changes, in per cent",Q:KR:N:771,2019-Q4,0.0835
Quarterly,KR,Korea,R,Real,"Year-on-year changes, in per cent",Q:KR:R:771,2019-Q4,-0.2114
Quarterly,LT,Lithuania,N,Nominal,"Year-on-year changes, in per cent",Q:LT:N:771,2019-Q4,6.5133
Quarterly,LT,Lithuania,R,Real,"Year-on-year changes, in per cent",Q:LT:R:771,2019-Q4,4.3888
Quarterly,LU,Luxembourg,N,Nominal,"Year-on-year changes, in per cent",Q:LU:N:771,2019-Q4,10.7345
Quarterly,LU,Luxembourg,R,Real,"Year-on-year changes, in per cent",Q:LU:R:771,2019-Q4,9.261
Quarterly,LV,Latvia,N,Nominal,"Year-on-year changes, in per cent",Q:LV:N:771,2019-Q4,8.8491
Quarterly,LV,Latvia,R,Real,"Year-on-year changes, in per cent",Q:LV:R:771,2019-Q4,6.488
Quarterly,MA,Morocco,N,Nominal,"Year-on-year changes, in per cent",Q:MA:N:771,2019-Q4,-0.519
Quarterly,MA,Morocco,R,Real,"Year-on-year changes, in per cent",Q:MA:R:771,2019-Q4,-1.1668
Quarterly,MK,North Macedonia,N,Nominal,"Year-on-year changes, in per cent",Q:MK:N:771,2019-Q4,3.4139
Quarterly,MK,North Macedonia,R,Real,"Year-on-year changes, in per cent",Q:MK:R:771,2019-Q4,3.3225
Quarterly,MT,Malta,N,Nominal,"Year-on-year changes, in per cent",Q:MT:N:771,2019-Q4,5.7353
Quarterly,MT,Malta,R,Real,"Year-on-year changes, in per cent",Q:MT:R:771,2019-Q4,4.3746
Quarterly,MX,Mexico,N,Nominal,"Year-on-year changes, in per cent",Q:MX:N:771,2019-Q4,7.6581
Quarterly,MX,Mexico,R,Real,"Year-on-year changes, in per cent",Q:MX:R:771,2019-Q4,4.5829
Quarterly,MY,Malaysia,N,Nominal,"Year-on-year changes, in per cent",Q:MY:N:771,2019-Q4,1.7921
Quarterly,MY,Malaysia,R,Real,"Year-on-year changes, in per cent",Q:MY:R:771,2019-Q4,0.792
Quarterly,NL,Netherlands,N,Nominal,"Year-on-year changes, in per cent",Q:NL:N:771,2019-Q4,6.5127
Quarterly,NL,Netherlands,R,Real,"Year-on-year changes, in per cent",Q:NL:R:771,2019-Q4,3.746
Quarterly,NO,Norway,N,Nominal,"Year-on-year changes, in per cent",Q:NO:N:771,2019-Q4,2.5801
Quarterly,NO,Norway,R,Real,"Year-on-year changes, in per cent",Q:NO:R:771,2019-Q4,0.9533
Quarterly,NZ,New Zealand,N,Nominal,"Year-on-year changes, in per cent",Q:NZ:N:771,2019-Q4,4.7761
Quarterly,NZ,New Zealand,R,Real,"Year-on-year changes, in per cent",Q:NZ:R:771,2019-Q4,2.8692
Quarterly,PE,Peru,N,Nominal,"Year-on-year changes, in per cent",Q:PE:N:771,2019-Q4,-0.6231
Quarterly,PE,Peru,R,Real,"Year-on-year changes, in per cent",Q:PE:R:771,2019-Q4,-2.4593
Quarterly,PH,Philippines,N,Nominal,"Year-on-year changes, in per cent",Q:PH:N:771,2019-Q4,10.4391
Quarterly,PH,Philippines,R,Real,"Year-on-year changes, in per cent",Q:PH:R:771,2019-Q4,8.9424
Quarterly,PL,Poland,N,Nominal,"Year-on-year changes, in per cent",Q:PL:N:771,2019-Q4,9.4308
Quarterly,PL,Poland,R,Real,"Year-on-year changes, in per cent",Q:PL:R:771,2019-Q4,6.6358
Quarterly,PT,Portugal,N,Nominal,"Year-on-year changes, in per cent",Q:PT:N:771,2019-Q4,10.3748
Quarterly,PT,Portugal,R,Real,"Year-on-year changes, in per cent",Q:PT:R:771,2019-Q4,10.0994
Quarterly,RO,Romania,N,Nominal,"Year-on-year changes, in per cent",Q:RO:N:771,2019-Q4,4.1667
Quarterly,RO,Romania,R,Real,"Year-on-year changes, in per cent",Q:RO:R:771,2019-Q4,0.4243
Quarterly,RS,Serbia,N,Nominal,"Year-on-year changes, in per cent",Q:RS:N:771,2019-Q4,-7.6354
Quarterly,RS,Serbia,R,Real,"Year-on-year changes, in per cent",Q:RS:R:771,2019-Q4,-8.9216
Quarterly,RU,Russia,N,Nominal,"Year-on-year changes, in per cent",Q:RU:N:771,2019-Q4,6.5611
Quarterly,RU,Russia,R,Real,"Year-on-year changes, in per cent",Q:RU:R:771,2019-Q4,3.011
Quarterly,SE,Sweden,N,Nominal,"Year-on-year changes, in per cent",Q:SE:N:771,2019-Q4,3.2795
Quarterly,SE,Sweden,R,Real,"Year-on-year changes, in per cent",Q:SE:R:771,2019-Q4,1.5321
Quarterly,SG,Singapore,N,Nominal,"Year-on-year changes, in per cent",Q:SG:N:771,2019-Q4,2.6738
Quarterly,SG,Singapore,R,Real,"Year-on-year changes, in per cent",Q:SG:R:771,2019-Q4,2.0297
Quarterly,SI,Slovenia,N,Nominal,"Year-on-year changes, in per cent",Q:SI:N:771,2019-Q4,4.8348
Quarterly,SI,Slovenia,R,Real,"Year-on-year changes, in per cent",Q:SI:R:771,2019-Q4,3.234
Quarterly,SK,Slovak Republic,N,Nominal,"Year-on-year changes, in per cent",Q:SK:N:771,2019-Q4,10.8424
Quarterly,SK,Slovak Republic,R,Real,"Year-on-year changes, in per cent",Q:SK:R:771,2019-Q4,7.7199
Quarterly,TH,Thailand,N,Nominal,"Year-on-year changes, in per cent",Q:TH:N:771,2019-Q4,1.4472
Quarterly,TH,Thailand,R,Real,"Year-on-year changes, in per cent",Q:TH:R:771,2019-Q4,1.0482
Quarterly,TR,Turkey,N,Nominal,"Year-on-year changes, in per cent",Q:TR:N:771,2019-Q4,10.0
Quarterly,TR,Turkey,R,Real,"Year-on-year changes, in per cent",Q:TR:R:771,2019-Q4,-0.2777
Quarterly,US,United States,N,Nominal,"Year-on-year changes, in per cent",Q:US:N:771,2019-Q4,4.5026
Quarterly,US,United States,R,Real,"Year-on-year changes, in per cent",Q:US:R:771,2019-Q4,2.4205
Quarterly,XM,Euro area,N,Nominal,"Year-on-year changes, in per cent",Q:XM:N:771,2019-Q4,4.2869
Quarterly,XM,Euro area,R,Real,"Year-on-year changes, in per cent",Q:XM:R:771,2019-Q4,3.2505
Quarterly,XW,World,N,Nominal,"Year-on-year changes, in per cent",Q:XW:N:771,2019-Q4,4.0727
Quarterly,XW,World,R,Real,"Year-on-year changes, in per cent",Q:XW:R:771,2019-Q4,1.222
Quarterly,ZA,South Africa,N,Nominal,"Year-on-year changes, in per cent",Q:ZA:N:771,2019-Q4,3.3049
Quarterly,ZA,South Africa,R,Real,"Year-on-year changes, in per cent",Q:ZA:R:771,2019-Q4,-0.4236
Quarterly,4T,Emerging market economies (aggregate),N,Nominal,"Year-on-year changes, in per cent",Q:4T:N:771,2020-Q1,4.6355
Quarterly,4T,Emerging market economies (aggregate),R,Real,"Year-on-year changes, in per cent",Q:4T:R:771,2020-Q1,0.0842
Quarterly,5R,Advanced economies,N,Nominal,"Year-on-year changes, in per cent",Q:5R:N:771,2020-Q1,4.2196
Quarterly,5R,Advanced economies,R,Real,"Year-on-year changes, in per cent",Q:5R:R:771,2020-Q1,2.6246
Quarterly,AE,United Arab Emirates,N,Nominal,"Year-on-year changes, in per cent",Q:AE:N:771,2020-Q1,-7.6449
Quarterly,AE,United Arab Emirates,R,Real,"Year-on-year changes, in per cent",Q:AE:R:771,2020-Q1,-6.3215
Quarterly,AT,Austria,N,Nominal,"Year-on-year changes, in per cent",Q:AT:N:771,2020-Q1,3.3964
Quarterly,AT,Austria,R,Real,"Year-on-year changes, in per cent",Q:AT:R:771,2020-Q1,1.4599
Quarterly,AU,Australia,N,Nominal,"Year-on-year changes, in per cent",Q:AU:N:771,2020-Q1,7.3638
Quarterly,AU,Australia,R,Real,"Year-on-year changes, in per cent",Q:AU:R:771,2020-Q1,5.0618
Quarterly,BE,Belgium,N,Nominal,"Year-on-year changes, in per cent",Q:BE:N:771,2020-Q1,3.5413
Quarterly,BE,Belgium,R,Real,"Year-on-year changes, in per cent",Q:BE:R:771,2020-Q1,2.4742
Quarterly,BG,Bulgaria,N,Nominal,"Year-on-year changes, in per cent",Q:BG:N:771,2020-Q1,4.7046
Quarterly,BG,Bulgaria,R,Real,"Year-on-year changes, in per cent",Q:BG:R:771,2020-Q1,1.0577
Quarterly,BR,Brazil,N,Nominal,"Year-on-year changes, in per cent",Q:BR:N:771,2020-Q1,6.1883
Quarterly,BR,Brazil,R,Real,"Year-on-year changes, in per cent",Q:BR:R:771,2020-Q1,2.2699
Quarterly,CA,Canada,N,Nominal,"Year-on-year changes, in per cent",Q:CA:N:771,2020-Q1,4.2677
Quarterly,CA,Canada,R,Real,"Year-on-year changes, in per cent",Q:CA:R:771,2020-Q1,2.4148
Quarterly,CH,Switzerland,N,Nominal,"Year-on-year changes, in per cent",Q:CH:N:771,2020-Q1,2.5282
Quarterly,CH,Switzerland,R,Real,"Year-on-year changes, in per cent",Q:CH:R:771,2020-Q1,2.6577
Quarterly,CL,Chile,N,Nominal,"Year-on-year changes, in per cent",Q:CL:N:771,2020-Q1,9.0817
Quarterly,CL,Chile,R,Real,"Year-on-year changes, in per cent",Q:CL:R:771,2020-Q1,5.191
Quarterly,CN,China,N,Nominal,"Year-on-year changes, in per cent",Q:CN:N:771,2020-Q1,2.9911
Quarterly,CN,China,R,Real,"Year-on-year changes, in per cent",Q:CN:R:771,2020-Q1,-2.1019
Quarterly,CO,Colombia,N,Nominal,"Year-on-year changes, in per cent",Q:CO:N:771,2020-Q1,5.7752
Quarterly,CO,Colombia,R,Real,"Year-on-year changes, in per cent",Q:CO:R:771,2020-Q1,1.9738
Quarterly,CY,Cyprus,N,Nominal,"Year-on-year changes, in per cent",Q:CY:N:771,2020-Q1,1.8262
Quarterly,CY,Cyprus,R,Real,"Year-on-year changes, in per cent",Q:CY:R:771,2020-Q1,0.7421
Quarterly,CZ,Czechia,N,Nominal,"Year-on-year changes, in per cent",Q:CZ:N:771,2020-Q1,8.6006
Quarterly,CZ,Czechia,R,Real,"Year-on-year changes, in per cent",Q:CZ:R:771,2020-Q1,4.8232
Quarterly,DE,Germany,N,Nominal,"Year-on-year changes, in per cent",Q:DE:N:771,2020-Q1,7.3973
Quarterly,DE,Germany,R,Real,"Year-on-year changes, in per cent",Q:DE:R:771,2020-Q1,5.6667
Quarterly,DK,Denmark,N,Nominal,"Year-on-year changes, in per cent",Q:DK:N:771,2020-Q1,2.069
Quarterly,DK,Denmark,R,Real,"Year-on-year changes, in per cent",Q:DK:R:771,2020-Q1,1.4432
Quarterly,EE,Estonia,N,Nominal,"Year-on-year changes, in per cent",Q:EE:N:771,2020-Q1,11.472
Quarterly,EE,Estonia,R,Real,"Year-on-year changes, in per cent",Q:EE:R:771,2020-Q1,9.8315
Quarterly,ES,Spain,N,Nominal,"Year-on-year changes, in per cent",Q:ES:N:771,2020-Q1,3.2878
Quarterly,ES,Spain,R,Real,"Year-on-year changes, in per cent",Q:ES:R:771,2020-Q1,2.6694
Quarterly,FI,Finland,N,Nominal,"Year-on-year changes, in per cent",Q:FI:N:771,2020-Q1,1.1639
Quarterly,FI,Finland,R,Real,"Year-on-year changes, in per cent",Q:FI:R:771,2020-Q1,0.3429
Quarterly,FR,France,N,Nominal,"Year-on-year changes, in per cent",Q:FR:N:771,2020-Q1,4.8803
Quarterly,FR,France,R,Real,"Year-on-year changes, in per cent",Q:FR:R:771,2020-Q1,3.6431
Quarterly,GB,United Kingdom,N,Nominal,"Year-on-year changes, in per cent",Q:GB:N:771,2020-Q1,1.7588
Quarterly,GB,United Kingdom,R,Real,"Year-on-year changes, in per cent",Q:GB:R:771,2020-Q1,0.1014
Quarterly,GR,Greece,N,Nominal,"Year-on-year changes, in per cent",Q:GR:N:771,2020-Q1,6.7295
Quarterly,GR,Greece,R,Real,"Year-on-year changes, in per cent",Q:GR:R:771,2020-Q1,6.3479
Quarterly,HK,Hong Kong SAR,N,Nominal,"Year-on-year changes, in per cent",Q:HK:N:771,2020-Q1,2.2409
Quarterly,HK,Hong Kong SAR,R,Real,"Year-on-year changes, in per cent",Q:HK:R:771,2020-Q1,0.369
Quarterly,HR,Croatia,N,Nominal,"Year-on-year changes, in per cent",Q:HR:N:771,2020-Q1,9.0987
Quarterly,HR,Croatia,R,Real,"Year-on-year changes, in per cent",Q:HR:R:771,2020-Q1,7.6436
